trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[1, 1, 3, 3]",3,1,False,
2,"[2, 1, 2, 3]",3,2,False,
3,"[1, 1, 1, 2]",3,1,False,
4,"[2, 2, 2, 1]",3,2,False,
5,"[2, 2, 1, 3]",3,1,False,
6,"[3, 2, 2, 1]",3,3,False,
7,"[3, 3, 2, 1]",3,3,False,
8,"[1, 3, 1, 2]",3,1,False,
9,"[1, 3, 3, 2]",3,3,False,
10,"[1, 3, 1, 1]",3,2,False,
11,"[1, 1, 2, 3]",3,2,False,
12,"[3, 3, 2, 2]",3,3,False,
13,"[1, 2, 2, 3]",3,2,False,
14,"[3, 1, 1, 3]",3,1,False,
15,"[1, 2, 3, 3]",3,3,True,
16,"[1, 1, 1, 3]",3,1,False,
17,"[3, 3, 1, 3]",3,1,False,
18,"[2, 2, 3, 2]",3,3,False,
19,"[2, 1, 1, 3]",3,1,False,
20,"[1, 1, 2, 1]",3,2,False,
21,"[3, 1, 3, 1]",3,3,False,
22,"[1, 2, 1, 1]",3,1,True,
23,"[2, 3, 1, 2]",3,3,False,
24,"[2, 3, 3, 3]",3,3,True,
25,"[2, 1, 3, 3]",3,1,False,
26,"[3, 1, 2, 2]",3,3,False,
27,"[3, 3, 1, 2]",3,3,False,
28,"[1, 1, 3, 1]",3,3,False,
29,"[3, 2, 1, 1]",3,1,True,
30,"[1, 3, 3, 1]",3,3,False,
31,"[3, 1, 3, 2]",3,3,False,
32,"[3, 1, 2, 3]",3,3,True,
33,"[3, 1, 2, 1]",3,3,False,
34,"[2, 2, 3, 3]",3,2,False,
35,"[3, 3, 3, 2]",3,3,False,
36,"[3, 2, 1, 2]",3,1,False,
37,"[3, 2, 3, 2]",3,3,False,
38,"[3, 3, 1, 1]",3,3,False,
39,"[2, 1, 2, 1]",3,2,False,
40,"[2, 3, 3, 1]",3,3,False,
41,"[1, 1, 3, 2]",3,3,False,
42,"[2, 3, 1, 3]",3,3,True,
43,"[3, 2, 3, 1]",3,2,False,
44,"[3, 1, 3, 3]",3,1,False,
45,"[2, 3, 2, 1]",3,3,False,
46,"[1, 1, 2, 2]",3,2,True,
47,"[3, 3, 2, 3]",3,3,True,
48,"[1, 2, 2, 1]",3,1,True,
49,"[2, 3, 2, 2]",3,2,True,
50,"[1, 3, 2, 2]",3,3,False,
51,"[1, 3, 2, 3]",3,3,True,
52,"[2, 1, 1, 2]",3,1,False,
53,"[2, 3, 3, 2]",3,3,False,
54,"[3, 1, 1, 2]",3,3,False,
55,"[1, 3, 3, 3]",3,3,True,
56,"[3, 2, 2, 3]",3,2,False,
57,"[1, 2, 3, 2]",3,1,False,
58,"[3, 1, 1, 1]",3,3,False,
59,"[2, 2, 3, 1]",3,2,False,
60,"[3, 2, 1, 3]",3,2,False,
61,"[2, 1, 3, 1]",3,3,False,
62,"[2, 1, 3, 2]",3,3,False,
63,"[2, 1, 2, 2]",3,3,False,
64,"[1, 3, 2, 1]",3,2,False,
65,"[1, 3, 1, 3]",3,1,False,
66,"[2, 2, 2, 3]",3,2,False,
67,"[1, 2, 2, 2]",3,2,True,
68,"[2, 3, 1, 1]",3,3,False,
69,"[3, 3, 3, 1]",3,3,False,
70,"[2, 3, 2, 3]",3,2,False,
71,"[1, 2, 3, 1]",3,3,False,
72,"[2, 2, 1, 1]",3,2,False,
73,"[3, 2, 2, 2]",3,2,True,
74,"[1, 2, 1, 2]",3,2,True,
75,"[2, 1, 1, 1]",3,1,True,
76,"[2, 2, 1, 2]",3,2,True,
77,"[1, 2, 1, 3]",3,2,False,
78,"[3, 2, 3, 3]",3,3,True,
79,"[1, 1, 3, 3]",3,1,False,
80,"[2, 1, 2, 3]",3,1,False,
81,"[1, 1, 1, 2]",3,2,True,
82,"[2, 2, 2, 1]",3,3,False,
83,"[2, 2, 1, 3]",3,2,False,
84,"[3, 2, 2, 1]",3,2,False,
85,"[3, 3, 2, 1]",3,3,False,
86,"[1, 3, 1, 2]",3,3,False,
87,"[1, 3, 3, 2]",3,3,False,
88,"[1, 3, 1, 1]",3,1,True,
89,"[1, 1, 2, 3]",3,2,False,
90,"[3, 3, 2, 2]",3,3,False,
91,"[1, 2, 2, 3]",3,2,False,
92,"[3, 1, 1, 3]",3,3,True,
93,"[1, 2, 3, 3]",3,1,False,
94,"[1, 1, 1, 3]",3,1,False,
95,"[3, 3, 1, 3]",3,2,False,
96,"[2, 2, 3, 2]",3,3,False,
97,"[2, 1, 1, 3]",3,1,False,
98,"[1, 1, 2, 1]",3,2,False,
99,"[3, 1, 3, 1]",3,3,False,
100,"[1, 2, 1, 1]",3,2,False,
101,"[2, 3, 1, 2]",3,2,True,
102,"[2, 3, 3, 3]",3,2,False,
103,"[2, 1, 3, 3]",3,3,True,
104,"[3, 1, 2, 2]",3,2,True,
105,"[3, 3, 1, 2]",3,1,False,
106,"[1, 1, 3, 1]",3,1,True,
107,"[3, 2, 1, 1]",3,3,False,
108,"[1, 3, 3, 1]",3,3,False,
109,"[3, 1, 3, 2]",3,2,True,
110,"[3, 1, 2, 3]",3,3,True,
111,"[3, 1, 2, 1]",3,2,False,
112,"[2, 2, 3, 3]",3,3,True,
113,"[3, 3, 3, 2]",3,2,True,
114,"[3, 2, 1, 2]",3,3,False,
115,"[3, 2, 3, 2]",3,2,True,
116,"[3, 3, 1, 1]",3,3,False,
117,"[2, 1, 2, 1]",3,1,True,
118,"[2, 3, 3, 1]",3,3,False,
119,"[1, 1, 3, 2]",3,1,False,
120,"[2, 3, 1, 3]",3,3,True,
121,"[3, 2, 3, 1]",3,2,False,
122,"[3, 1, 3, 3]",3,3,True,
123,"[2, 3, 2, 1]",3,2,False,
124,"[1, 1, 2, 2]",3,1,False,
125,"[3, 3, 2, 3]",3,3,True,
126,"[1, 2, 2, 1]",3,2,False,
127,"[2, 3, 2, 2]",3,3,False,
128,"[1, 3, 2, 2]",3,3,False,
129,"[1, 3, 2, 3]",3,3,True,
130,"[2, 1, 1, 2]",3,1,False,
131,"[2, 3, 3, 2]",3,3,False,
132,"[3, 1, 1, 2]",3,2,True,
133,"[1, 3, 3, 3]",3,1,False,
134,"[3, 2, 2, 3]",3,2,False,
135,"[1, 2, 3, 2]",3,3,False,
136,"[3, 1, 1, 1]",3,1,True,
137,"[2, 2, 3, 1]",3,2,False,
138,"[3, 2, 1, 3]",3,2,False,
139,"[2, 1, 3, 1]",3,3,False,
140,"[2, 1, 3, 2]",3,1,False,
141,"[2, 1, 2, 2]",3,2,True,
142,"[1, 3, 2, 1]",3,1,True,
143,"[1, 3, 1, 3]",3,1,False,
144,"[2, 2, 2, 3]",3,3,True,
145,"[1, 2, 2, 2]",3,1,False,
146,"[2, 3, 1, 1]",3,3,False,
147,"[3, 3, 3, 1]",3,2,False,
148,"[2, 3, 2, 3]",3,2,False,
149,"[1, 2, 3, 1]",3,1,True,
150,"[2, 2, 1, 1]",3,3,False,
151,"[3, 2, 2, 2]",3,3,False,
152,"[1, 2, 1, 2]",3,2,True,
153,"[2, 1, 1, 1]",3,3,False,
154,"[2, 2, 1, 2]",3,2,True,
155,"[1, 2, 1, 3]",3,2,False,
156,"[3, 2, 3, 3]",3,2,False,
