trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[2, 1, 1, 1]",1,3,False,
2,"[2, 2, 1, 3]",1,1,False,
3,"[3, 2, 3, 2]",1,2,True,
4,"[1, 2, 3, 2]",1,1,False,
5,"[3, 2, 1, 2]",1,2,True,
6,"[1, 3, 1, 1]",1,2,False,
7,"[1, 2, 1, 3]",1,2,True,
8,"[2, 2, 3, 2]",1,2,True,
9,"[3, 3, 1, 1]",1,3,True,
10,"[2, 2, 3, 1]",1,2,True,
11,"[2, 1, 2, 3]",1,1,True,
12,"[1, 1, 3, 2]",1,1,True,
13,"[1, 2, 2, 3]",1,2,True,
14,"[3, 1, 1, 1]",1,1,True,
15,"[1, 1, 2, 2]",1,1,True,
16,"[3, 3, 1, 2]",1,3,True,1.0
17,"[2, 2, 1, 2]",0,2,True,
18,"[1, 3, 2, 3]",0,3,False,
19,"[1, 3, 3, 1]",0,3,False,
20,"[1, 3, 1, 3]",0,1,True,
21,"[2, 3, 3, 3]",0,2,True,
22,"[3, 2, 3, 3]",0,3,True,
23,"[2, 3, 3, 1]",0,2,True,
24,"[3, 3, 1, 3]",0,3,True,
25,"[3, 1, 2, 1]",0,3,True,
26,"[1, 3, 3, 2]",0,1,True,
27,"[3, 2, 1, 1]",0,3,True,
28,"[1, 2, 3, 3]",0,1,True,
29,"[2, 1, 1, 3]",0,2,True,2.0
30,"[1, 1, 2, 1]",3,1,True,
31,"[3, 1, 3, 2]",3,3,False,
32,"[3, 3, 3, 1]",3,3,False,
33,"[2, 3, 1, 3]",3,2,False,
34,"[3, 1, 3, 1]",3,1,True,
35,"[2, 1, 2, 2]",3,1,False,
36,"[1, 3, 2, 2]",3,1,False,
37,"[1, 3, 1, 2]",3,3,False,
38,"[3, 1, 2, 3]",3,3,True,
39,"[3, 3, 2, 2]",3,3,False,
40,"[2, 2, 3, 3]",3,2,False,
41,"[1, 2, 2, 2]",3,1,False,
42,"[2, 2, 1, 1]",3,2,False,
43,"[2, 1, 3, 3]",3,1,False,
44,"[3, 1, 1, 3]",3,1,False,
45,"[3, 2, 1, 3]",3,3,True,
46,"[2, 1, 3, 1]",3,1,True,
47,"[2, 3, 2, 3]",3,3,True,
48,"[3, 1, 1, 2]",3,1,False,
49,"[1, 2, 1, 1]",3,1,True,
50,"[1, 2, 3, 1]",3,1,True,
51,"[1, 1, 2, 3]",3,1,False,
52,"[3, 2, 3, 1]",3,2,False,
53,"[2, 3, 1, 1]",3,3,False,
54,"[2, 1, 2, 1]",3,2,False,
55,"[2, 3, 2, 2]",3,2,True,
56,"[1, 3, 2, 1]",3,2,False,
57,"[1, 2, 1, 2]",3,1,False,
58,"[3, 3, 2, 3]",3,3,True,
59,"[2, 1, 3, 2]",3,1,False,
60,"[3, 2, 2, 1]",3,2,False,
61,"[1, 3, 3, 3]",3,1,False,
62,"[3, 2, 2, 3]",3,3,True,
63,"[3, 3, 3, 2]",3,3,False,
64,"[1, 2, 2, 1]",3,2,False,
65,"[2, 1, 1, 2]",3,2,True,
66,"[2, 3, 2, 1]",3,2,False,
67,"[1, 1, 1, 3]",3,1,False,
68,"[3, 3, 2, 1]",3,3,False,
69,"[2, 2, 2, 3]",3,2,False,
70,"[3, 1, 2, 2]",3,2,True,
71,"[2, 3, 3, 2]",3,3,False,
72,"[1, 1, 3, 3]",3,1,False,
73,"[3, 1, 3, 3]",3,3,True,
74,"[3, 2, 2, 2]",3,2,True,
75,"[2, 2, 2, 1]",3,2,False,
76,"[1, 1, 1, 2]",3,1,False,
77,"[2, 3, 1, 2]",3,2,True,
78,"[1, 1, 3, 1]",3,1,True,
79,"[2, 1, 1, 1]",3,1,True,
80,"[2, 2, 1, 3]",3,2,False,
81,"[3, 2, 3, 2]",3,2,True,
82,"[1, 2, 3, 2]",3,2,True,
83,"[3, 2, 1, 2]",3,2,True,
84,"[1, 3, 1, 1]",3,3,False,
85,"[1, 2, 1, 3]",3,2,False,
86,"[2, 2, 3, 2]",3,2,True,
87,"[3, 3, 1, 1]",3,3,False,
88,"[2, 2, 3, 1]",3,2,False,
89,"[2, 1, 2, 3]",3,1,False,
90,"[1, 1, 3, 2]",3,1,False,
91,"[1, 2, 2, 3]",3,2,False,
92,"[3, 1, 1, 1]",3,1,True,
93,"[1, 1, 2, 2]",3,2,True,
94,"[3, 3, 1, 2]",3,3,False,
95,"[2, 2, 1, 2]",3,1,False,
96,"[1, 3, 2, 3]",3,1,False,
97,"[1, 3, 3, 1]",3,3,False,
98,"[1, 3, 1, 3]",3,1,False,
99,"[2, 3, 3, 3]",3,2,False,
100,"[3, 2, 3, 3]",3,3,True,
101,"[2, 3, 3, 1]",3,2,False,
102,"[3, 3, 1, 3]",3,3,True,
103,"[3, 1, 2, 1]",3,2,False,
104,"[1, 3, 3, 2]",3,3,False,
105,"[3, 2, 1, 1]",3,3,False,
106,"[1, 2, 3, 3]",3,1,False,
107,"[2, 1, 1, 3]",3,1,False,
108,"[1, 1, 2, 1]",3,2,False,
109,"[3, 1, 3, 2]",3,1,False,
110,"[3, 3, 3, 1]",3,3,False,
111,"[2, 3, 1, 3]",3,2,False,
112,"[3, 1, 3, 1]",3,1,True,
113,"[2, 1, 2, 2]",3,1,False,
114,"[1, 3, 2, 2]",3,2,True,
